n,bin_idx,K_lo,K_hi,K_1,K_2,h,q_num,q_den,q_float
6,1,1000000,10000000,4014959,7596367,2,-159,1,-159.0
6,1,1000000,10000000,2196475,7936013,2,-95,1,-95.0
6,1,1000000,10000000,6240539,7456221,2,-15,1,-15.0
6,1,1000000,10000000,5600504,6082999,2,-63,1,-63.0
6,1,1000000,10000000,3199193,6240942,3,538,1,538.0
6,1,1000000,10000000,3709309,5516989,2,-23,1,-23.0
6,1,1000000,10000000,1979299,5561422,2,-95,1,-95.0
6,1,1000000,10000000,1511867,5800354,2,-287,1,-287.0
6,1,1000000,10000000,1398816,4067868,2,-15,1,-15.0
6,1,1000000,10000000,4571579,9655612,2,-23,1,-23.0
6,1,1000000,10000000,1101825,9696248,2,-47,1,-47.0
6,1,1000000,10000000,2140473,7432228,2,-95,1,-95.0
6,1,1000000,10000000,1322161,3208926,2,-15,1,-15.0
6,1,1000000,10000000,1069827,8921525,2,-79,1,-79.0
6,1,1000000,10000000,6317536,7303561,2,-7,1,-7.0
6,1,1000000,10000000,3615915,4263454,2,-239,1,-239.0
6,1,1000000,10000000,8519569,8744645,2,-15,1,-15.0
6,1,1000000,10000000,1211559,6979362,2,-95,1,-95.0
6,1,1000000,10000000,1708525,4648680,2,-3,1,-3.0
6,1,1000000,10000000,4605311,5968308,2,-15,1,-15.0
6,1,1000000,10000000,2770262,6268828,3,18,1,18.0
6,1,1000000,10000000,1347975,2005758,2,-7,1,-7.0
6,1,1000000,10000000,2393807,7689653,4,243,1,243.0
6,1,1000000,10000000,3811489,7136803,3,18,1,18.0
6,1,1000000,10000000,3369850,9225016,2,-15,1,-15.0
6,1,1000000,10000000,4693522,5986765,2,-15,1,-15.0
6,1,1000000,10000000,3634980,6356590,2,-47,1,-47.0
6,1,1000000,10000000,8388351,9817892,2,-63,1,-63.0
6,1,1000000,10000000,4890662,9376844,2,-15,1,-15.0
6,1,1000000,10000000,1601292,7554773,3,91,1,91.0
6,1,1000000,10000000,9092648,9954758,2,-79,1,-79.0
6,1,1000000,10000000,2941751,7497228,2,-31,1,-31.0
6,1,1000000,10000000,4868476,6041301,2,-7,1,-7.0
6,1,1000000,10000000,5602626,9303166,2,-15,1,-15.0
6,1,1000000,10000000,7771839,9691153,3,-4,1,-4.0
6,1,1000000,10000000,5421622,8270591,2,-7,1,-7.0
6,1,1000000,10000000,2025679,8348843,3,34,1,34.0
6,1,1000000,10000000,2357235,3756617,2,-47,1,-47.0
6,1,1000000,10000000,5054041,7471437,2,-23,1,-23.0
6,1,1000000,10000000,1844457,5733692,2,-63,1,-63.0
6,1,1000000,10000000,1389711,4001276,2,-63,1,-63.0
6,1,1000000,10000000,4777753,7666300,2,-3,1,-3.0
6,1,1000000,10000000,2478247,5050066,2,-15,1,-15.0
6,1,1000000,10000000,4616333,6484719,3,538,1,538.0
6,1,1000000,10000000,4118267,8702320,2,-191,1,-191.0
6,1,1000000,10000000,2234580,8987042,2,-31,1,-31.0
6,1,1000000,10000000,1601273,9277082,3,148,1,148.0
6,1,1000000,10000000,1065990,8241735,2,-7,1,-7.0
6,1,1000000,10000000,2943302,7734397,2,-95,1,-95.0
6,1,1000000,10000000,5812909,7463698,3,116,1,116.0
6,1,1000000,10000000,1808675,5696596,2,-15,1,-15.0
6,1,1000000,10000000,1164826,2198308,2,-31,1,-31.0
6,1,1000000,10000000,1659130,6497474,2,-95,1,-95.0
