n,bin_idx,K_lo,K_hi,K_1,K_2,h,q_num,q_den,q_float
6,2,1000000000,10000000000,3779824436,8945623389,2,-31,1,-31.0
6,2,1000000000,10000000000,2345461137,9659151785,2,-23,1,-23.0
6,2,1000000000,10000000000,3911231709,5231013480,2,-39,1,-39.0
6,2,1000000000,10000000000,4815329823,7297187275,2,-7,1,-7.0
6,2,1000000000,10000000000,6226971780,8129587906,2,-23,1,-23.0
6,2,1000000000,10000000000,2908205568,5400051880,2,-63,1,-63.0
6,2,1000000000,10000000000,6486719366,6769549873,2,-15,1,-15.0
6,2,1000000000,10000000000,4157952718,5097829374,3,51,1,51.0
6,2,1000000000,10000000000,5223777691,5478711553,2,-127,1,-127.0
6,2,1000000000,10000000000,6689438653,7338541823,2,-63,1,-63.0
6,2,1000000000,10000000000,1374295117,5443104234,2,-35,1,-35.0
6,2,1000000000,10000000000,6525462077,6966786331,2,-95,1,-95.0
6,2,1000000000,10000000000,3228195851,9083562003,2,-63,1,-63.0
6,2,1000000000,10000000000,1176657541,9161222013,2,-31,1,-31.0
