i,log2_a_plus_1,log2_q
265,1.000000,594.270266
266,2.000000,596.263068
267,1.000000,596.586439
268,1.000000,597.433795
269,1.584963,598.787571
270,3.807355,602.530792
271,3.906891,606.345821
272,6.149747,612.476568
273,1.584963,613.486826
274,1.584963,614.806708
275,2.000000,616.572484
276,1.000000,616.944398
277,2.000000,618.860017
278,4.169925,622.969800
279,4.700440,627.616995
280,1.000000,627.673450
281,1.584963,629.239839
282,3.000000,632.115157
283,1.584963,633.210260
284,1.000000,633.764213
285,1.584963,635.187066
286,2.321928,637.315681
287,1.584963,638.471868
288,1.584963,639.763882
289,3.807355,643.508946
290,2.000000,645.129335
291,1.000000,645.535597
292,6.321928,651.853092
293,1.000000,651.871069
294,2.584963,654.453051
295,2.321928,656.512064
296,2.000000,658.208049
297,1.000000,658.596122
298,2.584963,661.123229
299,3.321928,664.320699
300,1.000000,664.469972
301,3.169925,667.624053
302,1.584963,668.702894
303,1.000000,669.262052
304,1.584963,670.683584
305,3.700440,674.312744
306,1.000000,674.424869
307,3.584963,678.000814
308,1.584963,679.060069
309,1.000000,679.625549
310,1.584963,681.045482
311,1.000000,681.503580
312,2.000000,683.401961
313,1.000000,683.744794
314,4.247928,687.976571
315,1.000000,688.051383
316,1.000000,689.014462
317,1.000000,689.611837
318,1.000000,690.343850
319,3.169925,693.448533
320,2.584963,695.803620
321,1.000000,696.061181
322,3.000000,699.031390
323,2.000000,700.676450
324,2.000000,702.407517
325,1.000000,702.787392
326,1.000000,703.609922
327,1.000000,704.256499
328,1.000000,704.969134
329,2.321928,707.173964
330,3.584963,710.661568
331,1.000000,710.784772
332,1.000000,711.724485
333,3.169925,714.815564
334,4.169925,718.912952
335,1.584963,719.954490
336,1.000000,720.525739
337,1.000000,721.268205
338,2.000000,723.115287
339,1.000000,723.469123
340,1.000000,724.303026
341,1.000000,724.945505
342,1.584963,726.346377
343,1.584963,727.596550
344,1.000000,728.102845
345,1.000000,728.871794
346,3.321928,732.132850
347,3.807355,735.844820
348,1.584963,736.898842
349,1.000000,737.466021
350,3.459432,740.882177
351,1.000000,741.011364
352,1.000000,741.948216
353,2.000000,743.764763
354,2.584963,746.166366
355,3.169925,749.200098
356,1.000000,749.366314
357,2.000000,751.326520
358,1.000000,751.656495
359,1.000000,752.500921
360,1.000000,753.139628
361,2.000000,755.004473
362,1.584963,756.190056
363,1.000000,756.715771
364,7.954196,764.668189
365,1.000000,764.674002
