s,popcount,geometry,sequency,mean_p,ratio,corr_v2,monoids_above,cv,z,ci_lo,ci_hi,split_ok,robust
22,3,low-bit-heavy,79,0.004845859948545694,1.2405401468276978,0.5133605006712489,30,0.09860459715127945,80.20718383789062,0.004822262261821438,0.00488105757094379,False,True
30,4,contiguous,80,0.004726736340671778,1.210044503211975,0.4282441043179009,31,0.12125501781702042,70.03852844238281,0.00469580018055445,0.00475545056472202,False,True
69,3,mixed,195,0.006175425369292498,1.5809088945388794,-0.07063292199103903,31,0.1571730226278305,193.7018280029297,0.0061363245229116604,0.006211097393515369,False,True
71,4,low-bit-heavy,188,0.006211825180798769,1.5902272462844849,-0.034042588271902936,31,0.1615157425403595,196.80899047851562,0.006167745950346392,0.0062511083711269165,False,True
73,3,mixed,227,0.004622904118150473,1.183463454246521,-0.1800621369133805,25,0.20037473738193512,61.17517852783203,0.004589665314791003,0.004645138957740499,False,True
77,4,mixed,220,0.004975365940481424,1.2736936807632446,-0.1183277245756822,26,0.18843737244606018,91.26210021972656,0.004937204519557136,0.005011225040746673,False,True
81,3,mixed,243,0.007178937084972858,1.8378078937530518,0.08010586012584732,26,0.3865055739879608,279.3638000488281,0.007104355827980345,0.0072567029185818446,False,False
84,3,alternating,51,0.0058276038616895676,1.4918665885925293,0.49013985658985576,28,0.3606322407722473,164.01101684570312,0.005785508571951199,0.005872740965306519,True,False
85,4,alternating,204,0.006271702237427235,1.605555772781372,-0.03028722753810877,29,0.27248647809028625,201.92022705078125,0.006220528695379353,0.0063226210052943635,True,False
86,4,mixed,76,0.005672874860465527,1.4522559642791748,-0.0863622991302368,27,0.31343841552734375,150.80300903320312,0.005637974542145046,0.005716877416594915,True,False
87,5,mixed,179,0.005987830925732851,1.5328847169876099,-0.12125546618783246,28,0.2903061807155609,177.6883544921875,0.005926724984085247,0.006029917419730355,True,False
93,5,mixed,211,0.004652672912925482,1.1910842657089233,-0.15203783582779917,26,0.1795131415128708,63.71630859375,0.004616500484389103,0.004686855063060178,True,True
101,4,mixed,196,0.0046501546166837215,1.1904395818710327,-0.15422502781150965,28,0.137292742729187,63.5013427734375,0.004620413422291618,0.004679431117537822,False,True
