n,N,d_k,Q_n_at_cell,bin_count,bin_log_sum,M_n_total,log_M_n_total,bin_count_frac,bin_log_frac,cell_contribution_to_S_n
5,100000,10,-4.0,23,215.196475,867,8535.413297,0.02652826,0.02521219,-860.785900
5,100000,11,-4.5,1,10.150348,867,8535.413297,0.00115340,0.00118920,-45.676564
5,100000,12,-5.0,141,1430.202724,867,8535.413297,0.16262976,0.16756104,-7151.013621
5,100000,14,-6.0,10,100.625324,867,8535.413297,0.01153403,0.01178916,-603.751941
5,100000,15,-6.5,6,60.485357,867,8535.413297,0.00692042,0.00708640,-393.154820
5,100000,16,-7.0,98,1027.183237,867,8535.413297,0.11303345,0.12034370,-7190.282656
5,100000,18,-8.0,26,264.769526,867,8535.413297,0.02998847,0.03102012,-2118.156209
5,100000,20,-9.0,31,327.016733,867,8535.413297,0.03575548,0.03831293,-2943.150594
5,100000,21,-9.5,3,32.041407,867,8535.413297,0.00346021,0.00375394,-304.393363
5,100000,24,-11.0,51,545.562260,867,8535.413297,0.05882353,0.06391750,-6001.184862
5,100000,25,-11.5,1,10.385914,867,8535.413297,0.00115340,0.00121680,-119.438008
5,100000,27,-12.5,2,21.655493,867,8535.413297,0.00230681,0.00253713,-270.693661
5,100000,28,-13.0,4,43.011464,867,8535.413297,0.00461361,0.00503918,-559.149034
5,100000,30,-14.0,8,86.636340,867,8535.413297,0.00922722,0.01015022,-1212.908763
5,100000,32,-15.0,8,87.918502,867,8535.413297,0.00922722,0.01030044,-1318.777533
5,100000,36,-17.0,4,44.674563,867,8535.413297,0.00461361,0.00523402,-759.467574
5,100000,40,-19.0,1,11.233212,867,8535.413297,0.00115340,0.00131607,-213.431020
7,100000,1,0.5,1,3.891820,510,5021.004605,0.00196078,0.00077511,1.945910
7,100000,2,0.0,13,85.757826,510,5021.004605,0.02549020,0.01707981,0.000000
7,100000,3,-0.5,13,120.921987,510,5021.004605,0.02549020,0.02408323,-60.460994
7,100000,4,-1.0,81,747.410976,510,5021.004605,0.15882353,0.14885686,-747.410976
7,100000,5,-1.5,3,25.280250,510,5021.004605,0.00588235,0.00503490,-37.920376
7,100000,6,-2.0,44,400.295412,510,5021.004605,0.08627451,0.07972417,-800.590824
7,100000,7,-2.5,2,18.534197,510,5021.004605,0.00392157,0.00369133,-46.335494
7,100000,8,-3.0,105,1043.186499,510,5021.004605,0.20588235,0.20776450,-3129.559496
7,100000,9,-3.5,10,99.414480,510,5021.004605,0.01960784,0.01979972,-347.950679
7,100000,10,-4.0,17,164.984575,510,5021.004605,0.03333333,0.03285888,-659.938301
7,100000,11,-4.5,1,10.823292,510,5021.004605,0.00196078,0.00215560,-48.704814
7,100000,12,-5.0,85,868.396412,510,5021.004605,0.16666667,0.17295272,-4341.982062
7,100000,14,-6.0,6,61.752767,510,5021.004605,0.01176471,0.01229889,-370.516605
7,100000,15,-6.5,5,51.382827,510,5021.004605,0.00980392,0.01023357,-333.988376
7,100000,16,-7.0,52,547.942987,510,5021.004605,0.10196078,0.10913015,-3835.600911
7,100000,18,-8.0,20,209.749642,510,5021.004605,0.03921569,0.04177444,-1677.997138
7,100000,20,-9.0,12,125.915738,510,5021.004605,0.02352941,0.02507780,-1133.241638
7,100000,21,-9.5,2,21.517507,510,5021.004605,0.00392157,0.00428550,-204.416318
7,100000,24,-11.0,25,270.106825,510,5021.004605,0.04901961,0.05379537,-2971.175071
7,100000,25,-11.5,1,11.058858,510,5021.004605,0.00196078,0.00220252,-127.176869
7,100000,27,-12.5,1,10.694215,510,5021.004605,0.00196078,0.00212990,-133.677688
7,100000,28,-13.0,1,10.758754,510,5021.004605,0.00196078,0.00214275,-139.863797
7,100000,30,-14.0,4,43.994499,510,5021.004605,0.00784314,0.00876209,-615.922989
7,100000,32,-15.0,3,33.198005,510,5021.004605,0.00588235,0.00661183,-497.970080
7,100000,36,-17.0,3,34.034253,510,5021.004605,0.00588235,0.00677838,-578.582307
2,1000000,1,0.5,1,1.386294,23801,287093.713229,0.00004202,0.00000483,0.693147
2,1000000,2,0.0,94,604.172967,23801,287093.713229,0.00394941,0.00210445,0.000000
2,1000000,3,-0.5,94,1078.034264,23801,287093.713229,0.00394941,0.00375499,-539.017132
2,1000000,4,-1.0,4378,50184.480703,23801,287093.713229,0.18394185,0.17480174,-50184.480703
2,1000000,5,-1.5,7,71.281890,23801,287093.713229,0.00029411,0.00024829,-106.922835
2,1000000,6,-2.0,726,7887.801327,23801,287093.713229,0.03050292,0.02747466,-15775.602654
2,1000000,7,-2.5,3,32.082645,23801,287093.713229,0.00012605,0.00011175,-80.206613
2,1000000,8,-3.0,7712,92843.256378,23801,287093.713229,0.32402000,0.32339007,-278529.769134
