b,n,d,K,prec_lo,validated,pred_spike_baseb,pred_spike_decimal,observed_idx,observed_baseb,observed_decimal,gap_baseb,gap_pct
10,2,5,37700,1194971,2903,102777.75,102777.75,408,102765.64782139049,102765.64782139049,-12.102178609507973,-0.01177509588360124
10,3,5,33533,1062196,3855,91358.0,91358.0,488,91337.95423773224,91337.95423773224,-20.045762267764076,-0.021941988953090123
10,4,5,28325,896228,4861,77083.3125,77083.3125,516,77051.85192400159,77051.85192400159,-31.460575998411514,-0.04081373124489365
10,5,5,24200,764781,5731,65777.76,65777.76,616,65737.0457396848,65737.0457396848,-40.71426031518786,-0.061896696262061617
10,6,5,21033,663872,5763,57098.75,57098.75,660,57049.954237731734,57049.954237731734,-48.79576226826612,-0.08545854728565182
10,10,5,13700,430189,6827,36999.99,36999.99,844,36909.647777962804,36909.647777962804,-90.342222037194,-0.24416823365950643
