n,m,Q_rational,Lambda_value,sign
2,2,1,+0.6931471806,+
2,4,1/2,+0.6931471806,+
2,6,1,+1.7917594692,+
2,8,1/3,+0.6931471806,+
2,10,1,+2.3025850930,+
2,12,0,+0.0000000000,0
2,14,1,+2.6390573296,+
2,16,1/4,+0.6931471806,+
2,18,1,+2.8903717579,+
2,20,0,+0.0000000000,0
2,22,1,+3.0910424534,+
2,24,0,+0.0000000000,0
2,26,1,+3.2580965380,+
2,28,0,+0.0000000000,0
2,30,1,+3.4011973817,+
2,32,1/5,+0.6931471806,+
2,34,1,+3.5263605246,+
2,36,-1/2,-1.7917594692,-
2,38,1,+3.6375861597,+
2,40,0,+0.0000000000,0
2,42,1,+3.7376696183,+
2,44,0,+0.0000000000,0
2,46,1,+3.8286413965,+
2,48,0,+0.0000000000,0
2,50,1,+3.9120230054,+
2,52,0,+0.0000000000,0
2,54,1,+3.9889840466,+
2,56,0,+0.0000000000,0
2,58,1,+4.0604430105,+
2,60,-1,-4.0943445622,-
2,62,1,+4.1271343850,+
2,64,1/6,+0.6931471806,+
2,66,1,+4.1896547420,+
2,68,0,+0.0000000000,0
2,70,1,+4.2484952420,+
2,72,0,+0.0000000000,0
2,74,1,+4.3040650932,+
2,76,0,+0.0000000000,0
2,78,1,+4.3567088267,+
2,80,0,+0.0000000000,0
2,82,1,+4.4067192473,+
2,84,-1,-4.4308167988,-
2,86,1,+4.4543472963,+
2,88,0,+0.0000000000,0
2,90,1,+4.4998096703,+
2,92,0,+0.0000000000,0
2,94,1,+4.5432947823,+
2,96,0,+0.0000000000,0
2,98,1,+4.5849674787,+
2,100,-1/2,-2.3025850930,-
2,102,1,+4.6249728133,+
2,104,0,+0.0000000000,0
2,106,1,+4.6634390941,+
2,108,-1,-4.6821312271,-
2,110,1,+4.7004803658,+
2,112,0,+0.0000000000,0
2,114,1,+4.7361984484,+
2,116,0,+0.0000000000,0
2,118,1,+4.7706846245,+
2,120,0,+0.0000000000,0
2,122,1,+4.8040210447,+
2,124,0,+0.0000000000,0
2,126,1,+4.8362819070,+
2,128,1/7,+0.6931471806,+
2,130,1,+4.8675344505,+
2,132,-1,-4.8828019226,-
2,134,1,+4.8978398000,+
2,136,0,+0.0000000000,0
2,138,1,+4.9272536852,+
2,140,-1,-4.9416424226,-
2,142,1,+4.9558270576,+
2,144,0,+0.0000000000,0
2,146,1,+4.9836066217,+
2,148,0,+0.0000000000,0
2,150,1,+5.0106352941,+
2,152,0,+0.0000000000,0
2,154,1,+5.0369526024,+
2,156,-1,-5.0498560072,-
2,158,1,+5.0625950330,+
2,160,0,+0.0000000000,0
2,162,1,+5.0875963352,+
2,164,0,+0.0000000000,0
2,166,1,+5.1119877884,+
2,168,0,+0.0000000000,0
2,170,1,+5.1357984371,+
2,172,0,+0.0000000000,0
2,174,1,+5.1590552992,+
2,176,0,+0.0000000000,0
2,178,1,+5.1817835503,+
2,180,-2,-10.3859137018,-
2,182,1,+5.2040066871,+
2,184,0,+0.0000000000,0
2,186,1,+5.2257466737,+
2,188,0,+0.0000000000,0
2,190,1,+5.2470240722,+
2,192,0,+0.0000000000,0
2,194,1,+5.2678581591,+
2,196,-1/2,-2.6390573296,-
2,198,1,+5.2882670307,+
2,200,0,+0.0000000000,0
2,202,1,+5.3082676974,+
2,204,-1,-5.3181199938,-
2,206,1,+5.3278761688,+
2,208,0,+0.0000000000,0
2,210,1,+5.3471075307,+
2,212,0,+0.0000000000,0
2,214,1,+5.3659760150,+
2,216,1/3,+1.7917594692,+
2,218,1,+5.3844950628,+
2,220,-1,-5.3936275464,-
2,222,1,+5.4026773819,+
2,224,0,+0.0000000000,0
2,226,1,+5.4205349993,+
2,228,-1,-5.4293456290,-
2,230,1,+5.4380793089,+
2,232,0,+0.0000000000,0
2,234,1,+5.4553211154,+
2,236,0,+0.0000000000,0
2,238,1,+5.4722706737,+
2,240,0,+0.0000000000,0
2,242,1,+5.4889377262,+
2,244,0,+0.0000000000,0
2,246,1,+5.5053315359,+
2,248,0,+0.0000000000,0
2,250,1,+5.5214609179,+
2,252,-2,-11.0588581750,-
2,254,1,+5.5373342670,+
2,256,1/8,+0.6931471806,+
2,258,1,+5.5529595849,+
2,260,-1,-5.5606816310,-
2,262,1,+5.5683445038,+
2,264,0,+0.0000000000,0
2,266,1,+5.5834963088,+
2,268,0,+0.0000000000,0
2,270,1,+5.5984219590,+
2,272,0,+0.0000000000,0
2,274,1,+5.6131281064,+
2,276,-1,-5.6204008657,-
2,278,1,+5.6276211137,+
2,280,0,+0.0000000000,0
2,282,1,+5.6419070709,+
2,284,0,+0.0000000000,0
2,286,1,+5.6559918108,+
2,288,0,+0.0000000000,0
2,290,1,+5.6698809230,+
2,292,0,+0.0000000000,0
2,294,1,+5.6835797673,+
2,296,0,+0.0000000000,0
2,298,1,+5.6970934865,+
2,300,-2,-11.4075649493,-
2,302,1,+5.7104270174,+
2,304,0,+0.0000000000,0
2,306,1,+5.7235851020,+
2,308,-1,-5.7300997830,-
2,310,1,+5.7365722975,+
2,312,0,+0.0000000000,0
2,314,1,+5.7493929859,+
2,316,0,+0.0000000000,0
2,318,1,+5.7620513828,+
2,320,0,+0.0000000000,0
2,322,1,+5.7745515455,+
2,324,-3/2,-8.6711152737,-
2,326,1,+5.7868973814,+
2,328,0,+0.0000000000,0
2,330,1,+5.7990926545,+
2,332,0,+0.0000000000,0
2,334,1,+5.8111409930,+
2,336,0,+0.0000000000,0
2,338,1,+5.8230458955,+
2,340,-1,-5.8289456176,-
2,342,1,+5.8348107371,+
2,344,0,+0.0000000000,0
2,346,1,+5.8464387751,+
2,348,-1,-5.8522024798,-
2,350,1,+5.8579331545,+
2,352,0,+0.0000000000,0
2,354,1,+5.8692969131,+
2,356,0,+0.0000000000,0
2,358,1,+5.8805329864,+
2,360,1,+5.8861040315,+
2,362,1,+5.8916442118,+
2,364,-1,-5.8971538676,-
2,366,1,+5.9026333334,+
2,368,0,+0.0000000000,0
2,370,1,+5.9135030056,+
2,372,-1,-5.9188938543,-
2,374,1,+5.9242557974,+
2,376,0,+0.0000000000,0
2,378,1,+5.9348941956,+
2,380,-1,-5.9401712527,-
2,382,1,+5.9454206086,+
2,384,0,+0.0000000000,0
2,386,1,+5.9558373695,+
2,388,0,+0.0000000000,0
2,390,1,+5.9661467391,+
2,392,0,+0.0000000000,0
2,394,1,+5.9763509093,+
2,396,-2,-11.9628284225,-
2,398,1,+5.9864520053,+
2,400,0,+0.0000000000,0
2,402,1,+5.9964520886,+
2,404,0,+0.0000000000,0
2,406,1,+6.0063531596,+
2,408,0,+0.0000000000,0
2,410,1,+6.0161571597,+
2,412,0,+0.0000000000,0
2,414,1,+6.0258659738,+
2,416,0,+0.0000000000,0
2,418,1,+6.0354814325,+
2,420,-3,-18.1207641338,-
2,422,1,+6.0450053140,+
2,424,0,+0.0000000000,0
2,426,1,+6.0544393463,+
2,428,0,+0.0000000000,0
2,430,1,+6.0637852087,+
2,432,0,+0.0000000000,0
2,434,1,+6.0730445341,+
2,436,0,+0.0000000000,0
2,438,1,+6.0822189104,+
2,440,0,+0.0000000000,0
2,442,1,+6.0913098821,+
2,444,-1,-6.0958245624,-
2,446,1,+6.1003189520,+
2,448,0,+0.0000000000,0
2,450,1,+6.1092475828,+
2,452,0,+0.0000000000,0
2,454,1,+6.1180971980,+
2,456,0,+0.0000000000,0
2,458,1,+6.1268691841,+
2,460,-1,-6.1312264895,-
2,462,1,+6.1355648911,+
2,464,0,+0.0000000000,0
2,466,1,+6.1441856341,+
2,468,-2,-12.2969365918,-
2,470,1,+6.1527326947,+
2,472,0,+0.0000000000,0
2,474,1,+6.1612073217,+
2,476,-1,-6.1654178542,-
2,478,1,+6.1696107325,+
2,480,0,+0.0000000000,0
2,482,1,+6.1779441141,+
2,484,-1/2,-3.0910424534,-
2,486,1,+6.1862086239,+
2,488,0,+0.0000000000,0
2,490,1,+6.1944053911,+
2,492,-1,-6.1984787165,-
2,494,1,+6.2025355172,+
2,496,0,+0.0000000000,0
2,498,1,+6.2106000770,+
2,500,-1,-6.2146080984,-
2,502,1,+6.2186001197,+
2,504,1,+6.2225762681,+
2,506,1,+6.2265366693,+
2,508,0,+0.0000000000,0
2,510,1,+6.2344107257,+
2,512,1/9,+0.6931471806,+
2,514,1,+6.2422232655,+
2,516,-1,-6.2461067655,-
2,518,1,+6.2499752423,+
2,520,0,+0.0000000000,0
2,522,1,+6.2576675879,+
2,524,0,+0.0000000000,0
2,526,1,+6.2653012127,+
2,528,0,+0.0000000000,0
2,530,1,+6.2728770065,+
2,532,-1,-6.2766434893,-
2,534,1,+6.2803958390,+
2,536,0,+0.0000000000,0
2,538,1,+6.2878585602,+
2,540,-3,-18.8747074187,-
2,542,1,+6.2952660014,+
2,544,0,+0.0000000000,0
2,546,1,+6.3026189757,+
2,548,0,+0.0000000000,0
2,550,1,+6.3099182782,+
2,552,0,+0.0000000000,0
2,554,1,+6.3171646867,+
2,556,0,+0.0000000000,0
2,558,1,+6.3243589624,+
2,560,0,+0.0000000000,0
2,562,1,+6.3315018499,+
2,564,-1,-6.3350542515,-
2,566,1,+6.3385940782,+
2,568,0,+0.0000000000,0
2,570,1,+6.3456363608,+
2,572,-1,-6.3491389914,-
2,574,1,+6.3526293963,+
2,576,0,+0.0000000000,0
2,578,1,+6.3595738687,+
2,580,-1,-6.3630281035,-
2,582,1,+6.3664704477,+
2,584,0,+0.0000000000,0
2,586,1,+6.3733197896,+
2,588,-2,-12.7534538958,-
2,590,1,+6.3801225369,+
2,592,0,+0.0000000000,0
2,594,1,+6.3868793194,+
2,596,0,+0.0000000000,0
2,598,1,+6.3935907540,+
2,600,1,+6.3969296552,+
2,602,1,+6.4002574453,+
2,604,0,+0.0000000000,0
2,606,1,+6.4068799861,+
2,608,0,+0.0000000000,0
2,610,1,+6.4134589572,+
2,612,-2,-12.8334645650,-
2,614,1,+6.4199949281,+
2,616,0,+0.0000000000,0
2,618,1,+6.4264884575,+
2,620,-1,-6.4297194780,-
2,622,1,+6.4329400927,+
2,624,0,+0.0000000000,0
2,626,1,+6.4393503711,+
2,628,0,+0.0000000000,0
2,630,1,+6.4457198194,+
2,632,0,+0.0000000000,0
2,634,1,+6.4520489544,+
2,636,-1,-6.4551985633,-
2,638,1,+6.4583382833,+
2,640,0,+0.0000000000,0
2,642,1,+6.4645883037,+
2,644,-1,-6.4676987261,-
2,646,1,+6.4707995038,+
2,648,1,+6.4738906964,+
2,650,1,+6.4769723629,+
2,652,0,+0.0000000000,0
2,654,1,+6.4831073515,+
2,656,0,+0.0000000000,0
2,658,1,+6.4892049313,+
2,660,-3,-19.4767195051,-
2,662,1,+6.4952655559,+
2,664,0,+0.0000000000,0
2,666,1,+6.5012896705,+
2,668,0,+0.0000000000,0
2,670,1,+6.5072777124,+
2,672,0,+0.0000000000,0
2,674,1,+6.5132301109,+
2,676,-1/2,-3.2580965380,-
2,678,1,+6.5191472879,+
2,680,0,+0.0000000000,0
2,682,1,+6.5250296578,+
2,684,-2,-13.0559158352,-
2,686,1,+6.5308776277,+
2,688,0,+0.0000000000,0
2,690,1,+6.5366915976,+
2,692,0,+0.0000000000,0
2,694,1,+6.5424719605,+
2,696,0,+0.0000000000,0
2,698,1,+6.5482191028,+
2,700,-2,-13.1021606701,-
2,702,1,+6.5539334040,+
2,704,0,+0.0000000000,0
2,706,1,+6.5596152375,+
2,708,-1,-6.5624440937,-
2,710,1,+6.5652649700,+
2,712,0,+0.0000000000,0
2,714,1,+6.5708829623,+
2,716,0,+0.0000000000,0
2,718,1,+6.5764695690,+
2,720,0,+0.0000000000,0
2,722,1,+6.5820251389,+
2,724,0,+0.0000000000,0
2,726,1,+6.5875500148,+
2,728,0,+0.0000000000,0
2,730,1,+6.5930445341,+
2,732,-1,-6.5957805140,-
2,734,1,+6.5985090286,+
2,736,0,+0.0000000000,0
2,738,1,+6.6039438246,+
2,740,-1,-6.6066501862,-
2,742,1,+6.6093492432,+
2,744,0,+0.0000000000,0
2,746,1,+6.6147256002,+
2,748,-1,-6.6174029780,-
2,750,1,+6.6200732065,+
2,752,0,+0.0000000000,0
2,754,1,+6.6253923680,+
2,756,-3,-19.8841241285,-
2,758,1,+6.6306833856,+
2,760,0,+0.0000000000,0
2,762,1,+6.6359465557,+
2,764,0,+0.0000000000,0
2,766,1,+6.6411821697,+
2,768,0,+0.0000000000,0
2,770,1,+6.6463905148,+
2,772,0,+0.0000000000,0
2,774,1,+6.6515718736,+
2,776,0,+0.0000000000,0
2,778,1,+6.6567265242,+
2,780,-3,-19.9778817591,-
2,782,1,+6.6618547405,+
2,784,0,+0.0000000000,0
2,786,1,+6.6669567924,+
2,788,0,+0.0000000000,0
2,790,1,+6.6720329455,+
2,792,1,+6.6745613918,+
2,794,1,+6.6770834612,+
2,796,0,+0.0000000000,0
2,798,1,+6.6821085974,+
2,800,0,+0.0000000000,0
2,802,1,+6.6871086079,+
2,804,-1,-6.6895992692,-
2,806,1,+6.6920837425,+
2,808,0,+0.0000000000,0
2,810,1,+6.6970342477,+
2,812,-1,-6.6995003402,-
2,814,1,+6.7019603660,+
2,816,0,+0.0000000000,0
2,818,1,+6.7068623366,+
2,820,-1,-6.7093043403,-
2,822,1,+6.7117403951,+
2,824,0,+0.0000000000,0
2,826,1,+6.7165947735,+
2,828,-2,-13.4380263088,-
2,830,1,+6.7214257008,+
2,832,0,+0.0000000000,0
2,834,1,+6.7262334024,+
2,836,-1,-6.7286286131,-
2,838,1,+6.7310181005,+
2,840,2,+13.4668037837,+
2,842,1,+6.7357800142,+
2,844,0,+0.0000000000,0
2,846,1,+6.7405193596,+
2,848,0,+0.0000000000,0
2,850,1,+6.7452363495,+
2,852,-1,-6.7475865268,-
2,854,1,+6.7499311938,+
2,856,0,+0.0000000000,0
2,858,1,+6.7546040995,+
2,860,-1,-6.7569323892,-
2,862,1,+6.7592552707,+
2,864,0,+0.0000000000,0
2,866,1,+6.7638849086,+
2,868,-1,-6.7661917147,-
2,870,1,+6.7684932116,+
2,872,0,+0.0000000000,0
2,874,1,+6.7730803757,+
2,876,-1,-6.7753660909,-
2,878,1,+6.7776465936,+
2,880,0,+0.0000000000,0
2,882,1,+6.7821920560,+
2,884,-1,-6.7844570626,-
2,886,1,+6.7867169506,+
2,888,0,+0.0000000000,0
2,890,1,+6.7912214627,+
2,892,0,+0.0000000000,0
2,894,1,+6.7957057752,+
2,896,0,+0.0000000000,0
2,898,1,+6.8001700683,+
2,900,-7/2,-23.8083816716,-
2,902,1,+6.8046145201,+
2,904,0,+0.0000000000,0
2,906,1,+6.8090393060,+
2,908,0,+0.0000000000,0
2,910,1,+6.8134445995,+
2,912,0,+0.0000000000,0
2,914,1,+6.8178305715,+
2,916,0,+0.0000000000,0
2,918,1,+6.8221973906,+
2,920,0,+0.0000000000,0
2,922,1,+6.8265452236,+
2,924,-3,-20.4861362149,-
2,926,1,+6.8308742346,+
2,928,0,+0.0000000000,0
2,930,1,+6.8351845861,+
2,932,0,+0.0000000000,0
2,934,1,+6.8394764382,+
2,936,1,+6.8416154765,+
2,938,1,+6.8437499490,+
2,940,-1,-6.8458798753,-
2,942,1,+6.8480052746,+
2,944,0,+0.0000000000,0
2,946,1,+6.8522425691,+
2,948,-1,-6.8543545023,-
2,950,1,+6.8564619846,+
2,952,0,+0.0000000000,0
2,954,1,+6.8606636714,+
2,956,0,+0.0000000000,0
2,958,1,+6.8648477780,+
2,960,0,+0.0000000000,0
2,962,1,+6.8690144507,+
2,964,0,+0.0000000000,0
2,966,1,+6.8731638342,+
2,968,0,+0.0000000000,0
2,970,1,+6.8772960715,+
2,972,-2,-13.7587116089,-
2,974,1,+6.8814113036,+
2,976,0,+0.0000000000,0
2,978,1,+6.8855096700,+
2,980,-2,-13.7751051433,-
2,982,1,+6.8895913084,+
2,984,0,+0.0000000000,0
2,986,1,+6.8936563546,+
2,988,-1,-6.8956826977,-
2,990,1,+6.8977049431,+
2,992,0,+0.0000000000,0
2,994,1,+6.9017372067,+
2,996,-1,-6.9037472576,-
2,998,1,+6.9057532763,+
2,1000,1/3,+2.3025850930,+
2,1002,1,+6.9097532816,+
2,1004,0,+0.0000000000,0
2,1006,1,+6.9137373507,+
2,1008,0,+0.0000000000,0
2,1010,1,+6.9177056098,+
2,1012,-1,-6.9196838498,-
2,1014,1,+6.9216581842,+
2,1016,0,+0.0000000000,0
2,1018,1,+6.9255951971,+
2,1020,-3,-20.7826737188,-
2,1022,1,+6.9295167708,+
2,1024,1/10,+0.6931471806,+
2,1026,1,+6.9334230257,+
2,1028,0,+0.0000000000,0
2,1030,1,+6.9373140812,+
2,1032,0,+0.0000000000,0
2,1034,1,+6.9411900551,+
2,1036,-1,-6.9431224228,-
2,1038,1,+6.9450510637,+
2,1040,0,+0.0000000000,0
2,1042,1,+6.9488972223,+
2,1044,-2,-13.9016295369,-
2,1046,1,+6.9527286446,+
2,1048,0,+0.0000000000,0
2,1050,1,+6.9565454432,+
2,1052,0,+0.0000000000,0
2,1054,1,+6.9603477291,+
2,1056,0,+0.0000000000,0
2,1058,1,+6.9641356124,+
2,1060,-1,-6.9660241871,-
2,1062,1,+6.9679092018,+
2,1064,0,+0.0000000000,0
2,1066,1,+6.9716686047,+
2,1068,-1,-6.9735430195,-
2,1070,1,+6.9754139275,+
2,1072,0,+0.0000000000,0
2,1074,1,+6.9791452751,+
2,1076,0,+0.0000000000,0
2,1078,1,+6.9828627515,+
2,1080,3,+20.9541489604,+
2,1082,1,+6.9865664594,+
2,1084,0,+0.0000000000,0
2,1086,1,+6.9902565005,+
2,1088,0,+0.0000000000,0
2,1090,1,+6.9939329752,+
2,1092,-3,-20.9872984689,-
2,1094,1,+6.9975959830,+
2,1096,0,+0.0000000000,0
2,1098,1,+7.0012456221,+
2,1100,-2,-14.0061309176,-
2,1102,1,+7.0048819897,+
2,1104,0,+0.0000000000,0
2,1106,1,+7.0085051821,+
2,1108,0,+0.0000000000,0
2,1110,1,+7.0121152943,+
2,1112,0,+0.0000000000,0
2,1114,1,+7.0157124205,+
2,1116,-2,-14.0350122859,-
2,1118,1,+7.0192966537,+
2,1120,0,+0.0000000000,0
2,1122,1,+7.0228680861,+
2,1124,0,+0.0000000000,0
2,1126,1,+7.0264268087,+
2,1128,0,+0.0000000000,0
2,1130,1,+7.0299729117,+
2,1132,0,+0.0000000000,0
2,1134,1,+7.0335064843,+
2,1136,0,+0.0000000000,0
2,1138,1,+7.0370276147,+
2,1140,-3,-21.1163506242,-
2,1142,1,+7.0405363902,+
2,1144,0,+0.0000000000,0
2,1146,1,+7.0440328973,+
2,1148,-1,-7.0457765769,-
2,1150,1,+7.0475172214,+
2,1152,0,+0.0000000000,0
2,1154,1,+7.0509894471,+
2,1156,-1/2,-3.5263605246,-
2,1158,1,+7.0544496581,+
2,1160,0,+0.0000000000,0
2,1162,1,+7.0578979374,+
2,1164,-1,-7.0596176283,-
2,1166,1,+7.0613343669,+
2,1168,0,+0.0000000000,0
2,1170,1,+7.0647590278,+
2,1172,0,+0.0000000000,0
2,1174,1,+7.0681720004,+
2,1176,1,+7.0698741285,+
2,1178,1,+7.0715733642,+
2,1180,-1,-7.0732697175,-
2,1182,1,+7.0749631980,+
2,1184,0,+0.0000000000,0
2,1186,1,+7.0783415796,+
2,1188,-3,-21.2400794998,-
2,1190,1,+7.0817085861,+
2,1192,0,+0.0000000000,0
2,1194,1,+7.0850642940,+
2,1196,-1,-7.0867379345,-
2,1198,1,+7.0884087787,+
2,1200,0,+0.0000000000,0
2,1202,1,+7.0917421151,+
2,1204,-1,-7.0934046259,-
2,1206,1,+7.0950643773,+
2,1208,0,+0.0000000000,0
2,1210,1,+7.0983756386,+
2,1212,-1,-7.1000271666,-
2,1214,1,+7.1016759716,+
2,1216,0,+0.0000000000,0
2,1218,1,+7.1049654483,+
2,1220,-1,-7.1066061377,-
2,1222,1,+7.1082441397,+
2,1224,1,+7.1098794631,+
2,1226,1,+7.1115121165,+
2,1228,0,+0.0000000000,0
2,1230,1,+7.1147694484,+
2,1232,0,+0.0000000000,0
2,1234,1,+7.1180162045,+
2,1236,-1,-7.1196356380,-
2,1238,1,+7.1212524532,+
2,1240,0,+0.0000000000,0
2,1242,1,+7.1244782625,+
2,1244,0,+0.0000000000,0
2,1246,1,+7.1276936993,+
2,1248,0,+0.0000000000,0
2,1250,1,+7.1308988303,+
2,1252,0,+0.0000000000,0
2,1254,1,+7.1340937212,+
2,1256,0,+0.0000000000,0
2,1258,1,+7.1372784373,+
2,1260,-5,-35.6943349997,-
2,1262,1,+7.1404530431,+
2,1264,0,+0.0000000000,0
2,1266,1,+7.1436176027,+
2,1268,0,+0.0000000000,0
2,1270,1,+7.1467721795,+
2,1272,0,+0.0000000000,0
2,1274,1,+7.1499168361,+
2,1276,-1,-7.1514854639,-
2,1278,1,+7.1530516349,+
2,1280,0,+0.0000000000,0
2,1282,1,+7.1561766375,+
2,1284,-1,-7.1577354842,-
2,1286,1,+7.1592919048,+
2,1288,0,+0.0000000000,0
2,1290,1,+7.1623974974,+
2,1292,-1,-7.1639466843,-
2,1294,1,+7.1654934751,+
2,1296,-1/4,-1.7917594692,-
2,1298,1,+7.1685798973,+
2,1300,-2,-14.3402390869,-
2,1302,1,+7.1716568228,+
2,1304,0,+0.0000000000,0
2,1306,1,+7.1747243098,+
2,1308,-1,-7.1762545320,-
2,1310,1,+7.1777824162,+
2,1312,0,+0.0000000000,0
2,1314,1,+7.1808311990,+
2,1316,-1,-7.1823521119,-
2,1318,1,+7.1838707151,+
2,1320,2,+14.3707740312,+
2,1322,1,+7.1869010204,+
2,1324,0,+0.0000000000,0
2,1326,1,+7.1899221707,+
2,1328,0,+0.0000000000,0
2,1330,1,+7.1929342212,+
2,1332,-2,-14.3888737022,-
2,1334,1,+7.1959372265,+
2,1336,0,+0.0000000000,0
2,1338,1,+7.1989312407,+
2,1340,-1,-7.2004248929,-
2,1342,1,+7.2019163175,+
2,1344,0,+0.0000000000,0
2,1346,1,+7.2048925102,+
2,1348,0,+0.0000000000,0
2,1350,1,+7.2078598714,+
2,1352,0,+0.0000000000,0
2,1354,1,+7.2108184535,+
2,1356,-1,-7.2122944685,-
2,1358,1,+7.2137683081,+
2,1360,0,+0.0000000000,0
2,1362,1,+7.2167094867,+
2,1364,-1,-7.2181768384,-
2,1366,1,+7.2196420401,+
2,1368,1,+7.2211050982,+
2,1370,1,+7.2225660188,+
2,1372,-1,-7.2240248083,-
2,1374,1,+7.2254814728,+
2,1376,0,+0.0000000000,0
2,1378,1,+7.2283884516,+
2,1380,-3,-21.6895163345,-
2,1382,1,+7.2312870043,+
2,1384,0,+0.0000000000,0
2,1386,1,+7.2341771797,+
2,1388,0,+0.0000000000,0
2,1390,1,+7.2370590261,+
2,1392,0,+0.0000000000,0
2,1394,1,+7.2399325913,+
2,1396,0,+0.0000000000,0
2,1398,1,+7.2427979228,+
2,1400,1,+7.2442275156,+
2,1402,1,+7.2456550676,+
2,1404,-3,-21.7412417538,-
2,1406,1,+7.2485040724,+
2,1408,0,+0.0000000000,0
2,1410,1,+7.2513449834,+
2,1412,0,+0.0000000000,0
2,1414,1,+7.2541778465,+
2,1416,0,+0.0000000000,0
2,1418,1,+7.2570027071,+
2,1420,-1,-7.2584121506,-
2,1422,1,+7.2598196104,+
2,1424,0,+0.0000000000,0
2,1426,1,+7.2626286010,+
2,1428,-3,-21.7920904287,-
2,1430,1,+7.2654297233,+
2,1432,0,+0.0000000000,0
2,1434,1,+7.2682230212,+
2,1436,0,+0.0000000000,0
2,1438,1,+7.2710085383,+
2,1440,0,+0.0000000000,0
2,1442,1,+7.2737863178,+
2,1444,-1/2,-3.6375861597,-
2,1446,1,+7.2765564027,+
2,1448,0,+0.0000000000,0
2,1450,1,+7.2793188354,+
2,1452,-2,-14.5613943908,-
2,1454,1,+7.2820736581,+
2,1456,0,+0.0000000000,0
2,1458,1,+7.2848209126,+
2,1460,-1,-7.2861917147,-
2,1462,1,+7.2875606403,+
2,1464,0,+0.0000000000,0
2,1466,1,+7.2902928824,+
2,1468,0,+0.0000000000,0
2,1470,1,+7.2930176798,+
2,1472,0,+0.0000000000,0
2,1474,1,+7.2957350727,+
2,1476,-2,-14.5941820103,-
2,1478,1,+7.2984451015,+
2,1480,0,+0.0000000000,0
2,1482,1,+7.3011478059,+
2,1484,-1,-7.3024964237,-
2,1486,1,+7.3038432253,+
2,1488,0,+0.0000000000,0
2,1490,1,+7.3065313989,+
2,1492,0,+0.0000000000,0
2,1494,1,+7.3092123657,+
2,1496,0,+0.0000000000,0
2,1498,1,+7.3118861641,+
2,1500,-3,-21.9396611613,-
2,1502,1,+7.3145528323,+
2,1504,0,+0.0000000000,0
2,1506,1,+7.3172124084,+
2,1508,-1,-7.3185395486,-
2,1510,1,+7.3198649298,+
2,1512,3,+21.9635656702,+
2,1514,1,+7.3225104340,+
2,1516,0,+0.0000000000,0
2,1518,1,+7.3251489580,+
2,1520,0,+0.0000000000,0
2,1522,1,+7.3277805384,+
2,1524,-1,-7.3290937362,-
2,1526,1,+7.3304052118,+
2,1528,0,+0.0000000000,0
2,1530,1,+7.3330230144,+
2,1532,0,+0.0000000000,0
2,1534,1,+7.3356339819,+
2,1536,0,+0.0000000000,0
2,1538,1,+7.3382381501,+
2,1540,-3,-22.0186130862,-
2,1542,1,+7.3408355541,+
2,1544,0,+0.0000000000,0
2,1546,1,+7.3434262291,+
2,1548,-2,-14.6894381083,-
2,1550,1,+7.3460102099,+
2,1552,0,+0.0000000000,0
2,1554,1,+7.3485875309,+
2,1556,0,+0.0000000000,0
2,1558,1,+7.3511582264,+
2,1560,2,+14.7048822005,+
2,1562,1,+7.3537223304,+
2,1564,-1,-7.3550019211,-
2,1566,1,+7.3562798766,+
2,1568,0,+0.0000000000,0
2,1570,1,+7.3588308983,+
2,1572,-1,-7.3601039730,-
2,1574,1,+7.3613754290,+
2,1576,0,+0.0000000000,0
2,1578,1,+7.3639135014,+
2,1580,-1,-7.3651801260,-
2,1582,1,+7.3664451483,+
2,1584,0,+0.0000000000,0
2,1586,1,+7.3689704022,+
2,1588,0,+0.0000000000,0
2,1590,1,+7.3714892952,+
2,1592,0,+0.0000000000,0
2,1594,1,+7.3740018594,+
2,1596,-3,-22.1257673340,-
2,1598,1,+7.3765081263,+
2,1600,0,+0.0000000000,0
2,1602,1,+7.3790081276,+
2,1604,0,+0.0000000000,0
2,1606,1,+7.3815018945,+
2,1608,0,+0.0000000000,0
2,1610,1,+7.3839894580,+
2,1612,-1,-7.3852309231,-
2,1614,1,+7.3864708488,+
2,1616,0,+0.0000000000,0
2,1618,1,+7.3889460976,+
2,1620,-4,-29.5607257129,-
2,1622,1,+7.3914152347,+
2,1624,0,+0.0000000000,0
2,1626,1,+7.3938782901,+
2,1628,-1,-7.3951075466,-
2,1630,1,+7.3963352938,+
2,1632,0,+0.0000000000,0
2,1634,1,+7.3987862754,+
2,1636,0,+0.0000000000,0
2,1638,1,+7.4012312644,+
2,1640,0,+0.0000000000,0
2,1642,1,+7.4036702900,+
2,1644,-1,-7.4048875756,-
2,1646,1,+7.4061033812,+
2,1648,0,+0.0000000000,0
2,1650,1,+7.4085305669,+
2,1652,-1,-7.4097419541,-
2,1654,1,+7.4109518756,+
2,1656,1,+7.4121603349,+
2,1658,1,+7.4133673357,+
2,1660,-1,-7.4145728814,-
2,1662,1,+7.4157769754,+
2,1664,0,+0.0000000000,0
2,1666,1,+7.4181808227,+
2,1668,-1,-7.4193805829,-
2,1670,1,+7.4205789054,+
2,1672,0,+0.0000000000,0
2,1674,1,+7.4229712510,+
2,1676,0,+0.0000000000,0
2,1678,1,+7.4253578870,+
2,1680,0,+0.0000000000,0
2,1682,1,+7.4277388405,+
