n,m,Q_rational,Lambda_value,sign
5,9440,1,+9.1527112591,+
5,9445,1,+9.1532407799,+
5,9450,-7,-64.0763901434,-
5,9455,1,+9.1542989811,+
5,9460,1,+9.1548276620,+
5,9465,1,+9.1553560636,+
5,9470,1,+9.1558841862,+
5,9475,0,+0.0000000000,0
5,9480,1,+9.1569395952,+
5,9485,1,+9.1574668824,+
5,9490,1,+9.1579938916,+
5,9495,1,+9.1585206232,+
5,9500,1,+9.1590470776,+
5,9505,1,+9.1595732549,+
5,9510,1,+9.1600991555,+
5,9515,1,+9.1606247797,+
5,9520,1,+9.1611501278,+
5,9525,-1,-9.1616752000,-
5,9530,1,+9.1621999966,+
5,9535,1,+9.1627245180,+
5,9540,1,+9.1632487644,+
5,9545,1,+9.1637727362,+
5,9550,-1,-9.1642964335,-
5,9555,1,+9.1648198567,+
5,9560,1,+9.1653430060,+
5,9565,1,+9.1658658819,+
5,9570,1,+9.1663884844,+
5,9575,0,+0.0000000000,0
5,9580,1,+9.1674328710,+
5,9585,1,+9.1679546555,+
5,9590,1,+9.1684761679,+
5,9595,1,+9.1689974084,+
5,9600,-7,-64.1866286422,-
5,9605,1,+9.1700390752,+
5,9610,1,+9.1705595020,+
5,9615,1,+9.1710796580,+
5,9620,1,+9.1715995437,+
5,9625,0,+0.0000000000,0
5,9630,1,+9.1726385048,+
5,9635,1,+9.1731575808,+
5,9640,1,+9.1736763876,+
5,9645,1,+9.1741949253,+
5,9650,-1,-9.1747131943,-
5,9655,1,+9.1752311949,+
5,9660,1,+9.1757489272,+
5,9665,1,+9.1762663916,+
5,9670,1,+9.1767835884,+
5,9675,-2,-18.3546010358,-
5,9680,1,+9.1778171803,+
5,9685,1,+9.1783335758,+
5,9690,1,+9.1788497049,+
5,9695,1,+9.1793655677,+
5,9700,-2,-18.3597623290,-
5,9705,1,+9.1803964956,+
5,9710,1,+9.1809115613,+
5,9715,1,+9.1814263618,+
5,9720,1,+9.1819408975,+
5,9725,0,+0.0000000000,0
5,9730,1,+9.1829691752,+
5,9735,1,+9.1834829178,+
5,9740,1,+9.1839963966,+
5,9745,1,+9.1845096119,+
5,9750,2,+18.3700451280,+
5,9755,1,+9.1855352531,+
5,9760,1,+9.1860476794,+
5,9765,1,+9.1865598433,+
5,9770,1,+9.1870717450,+
5,9775,-1,-9.1875833849,-
5,9780,1,+9.1880947630,+
5,9785,1,+9.1886058798,+
5,9790,1,+9.1891167355,+
5,9795,1,+9.1896273304,+
5,9800,-5,-45.9506883233,-
5,9805,1,+9.1906477386,+
5,9810,1,+9.1911575526,+
5,9815,1,+9.1916671067,+
5,9820,1,+9.1921764013,+
5,9825,-1,-9.1926854367,-
5,9830,1,+9.1931942131,+
5,9835,1,+9.1937027308,+
5,9840,1,+9.1942109900,+
5,9845,1,+9.1947189911,+
5,9850,-1,-9.1952267342,-
5,9855,1,+9.1957342196,+
5,9860,1,+9.1962414476,+
5,9865,1,+9.1967484185,+
5,9870,1,+9.1972551324,+
5,9875,0,+0.0000000000,0
